"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23","Update exercise","LMS service","Sun Aug 17 18:12:06 GMT 2025","passed","Sun Aug 17 18:12:06 GMT 2025","Update entity","Exercises","",""
"","19","Create exercise","LMS service","Sun Aug 17 18:12:04 GMT 2025","passed","Sun Aug 17 18:12:04 GMT 2025","Create entity","Exercises","",""
"","556","Create user","LMS service","Sun Aug 17 18:12:10 GMT 2025","passed","Sun Aug 17 18:12:11 GMT 2025","Create entity","Users","",""
"","16","Create file","LMS service","Sun Aug 17 18:12:07 GMT 2025","passed","Sun Aug 17 18:12:07 GMT 2025","Create entity","Files","",""
"","11","Get user me","LMS service","Sun Aug 17 18:12:11 GMT 2025","passed","Sun Aug 17 18:12:11 GMT 2025","Get entity","Users","",""
"","513","Create user","LMS service","Sun Aug 17 18:12:10 GMT 2025","passed","Sun Aug 17 18:12:10 GMT 2025","Create entity","Users","",""
"","28","Get courses","LMS service","Sun Aug 17 18:12:02 GMT 2025","passed","Sun Aug 17 18:12:02 GMT 2025","Get entities","Courses","",""
"","287","Delete exercise","LMS service","Sun Aug 17 18:12:06 GMT 2025","passed","Sun Aug 17 18:12:07 GMT 2025","Delete entity","Exercises","",""
"","29","Update course","LMS service","Sun Aug 17 18:12:03 GMT 2025","passed","Sun Aug 17 18:12:03 GMT 2025","Update entity","Courses","",""
"","269","Create file with empty directory","LMS service","Sun Aug 17 18:12:09 GMT 2025","passed","Sun Aug 17 18:12:09 GMT 2025","Validate entity","Files","",""
"","553","Login with correct email and password","LMS service","Sun Aug 17 18:12:01 GMT 2025","passed","Sun Aug 17 18:12:02 GMT 2025","Login","Authentication","",""
"","15","Create file with empty filename","LMS service","Sun Aug 17 18:12:08 GMT 2025","passed","Sun Aug 17 18:12:08 GMT 2025","Validate entity","Files","",""
"","537","Create user","LMS service","Sun Aug 17 18:12:09 GMT 2025","passed","Sun Aug 17 18:12:10 GMT 2025","Create entity","Users","",""
"","13","Get file","LMS service","Sun Aug 17 18:12:08 GMT 2025","passed","Sun Aug 17 18:12:08 GMT 2025","Get entity","Files","",""
"","18","Get exercise","LMS service","Sun Aug 17 18:12:05 GMT 2025","passed","Sun Aug 17 18:12:05 GMT 2025","Get entity","Exercises","",""
"","282","Get exercises","LMS service","Sun Aug 17 18:12:05 GMT 2025","passed","Sun Aug 17 18:12:05 GMT 2025","Get entities","Exercises","",""
"","267","Get file with incorrect file id","LMS service","Sun Aug 17 18:12:10 GMT 2025","passed","Sun Aug 17 18:12:10 GMT 2025","Validate entity","Files","",""
"","25","Create course","LMS service","Sun Aug 17 18:12:03 GMT 2025","passed","Sun Aug 17 18:12:03 GMT 2025","Create entity","Courses","",""
"","21","Delete file","LMS service","Sun Aug 17 18:12:09 GMT 2025","passed","Sun Aug 17 18:12:09 GMT 2025","Delete entity","Files","",""
