"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","27","Create exercise","LMS service","Sat Aug 30 16:18:37 GMT 2025","passed","Sat Aug 30 16:18:37 GMT 2025","Create entity","Exercises","",""
"","286","Create user","LMS service","Sat Aug 30 16:18:43 GMT 2025","passed","Sat Aug 30 16:18:43 GMT 2025","Create entity","Users","",""
"","18","Update exercise","LMS service","Sat Aug 30 16:18:38 GMT 2025","passed","Sat Aug 30 16:18:38 GMT 2025","Update entity","Exercises","",""
"","12","Get user me","LMS service","Sat Aug 30 16:18:44 GMT 2025","passed","Sat Aug 30 16:18:44 GMT 2025","Get entity","Users","",""
"","24","Delete exercise","LMS service","Sat Aug 30 16:18:39 GMT 2025","passed","Sat Aug 30 16:18:39 GMT 2025","Delete entity","Exercises","",""
"","20","Get exercise","LMS service","Sat Aug 30 16:18:38 GMT 2025","passed","Sat Aug 30 16:18:38 GMT 2025","Get entity","Exercises","",""
"","25","Create course","LMS service","Sat Aug 30 16:18:36 GMT 2025","passed","Sat Aug 30 16:18:36 GMT 2025","Create entity","Courses","",""
"","253","Get file with incorrect file id","LMS service","Sat Aug 30 16:18:42 GMT 2025","passed","Sat Aug 30 16:18:42 GMT 2025","Validate entity","Files","",""
"","21","Create file","LMS service","Sat Aug 30 16:18:39 GMT 2025","passed","Sat Aug 30 16:18:39 GMT 2025","Create entity","Files","",""
"","17","Get exercises","LMS service","Sat Aug 30 16:18:37 GMT 2025","passed","Sat Aug 30 16:18:37 GMT 2025","Get entities","Exercises","",""
"","528","Create user","LMS service","Sat Aug 30 16:18:42 GMT 2025","passed","Sat Aug 30 16:18:42 GMT 2025","Create entity","Users","",""
"","31","Update course","LMS service","Sat Aug 30 16:18:36 GMT 2025","passed","Sat Aug 30 16:18:36 GMT 2025","Update entity","Courses","",""
"","28","Get courses","LMS service","Sat Aug 30 16:18:35 GMT 2025","passed","Sat Aug 30 16:18:35 GMT 2025","Get entities","Courses","",""
"","298","Delete file","LMS service","Sat Aug 30 16:18:42 GMT 2025","passed","Sat Aug 30 16:18:42 GMT 2025","Delete entity","Files","",""
"","554","Create user","LMS service","Sat Aug 30 16:18:43 GMT 2025","passed","Sat Aug 30 16:18:43 GMT 2025","Create entity","Users","",""
"","254","Create file with empty directory","LMS service","Sat Aug 30 16:18:41 GMT 2025","passed","Sat Aug 30 16:18:42 GMT 2025","Validate entity","Files","",""
"","536","Login with correct email and password","LMS service","Sat Aug 30 16:18:34 GMT 2025","passed","Sat Aug 30 16:18:35 GMT 2025","Login","Authentication","",""
"","14","Get file","LMS service","Sat Aug 30 16:18:40 GMT 2025","passed","Sat Aug 30 16:18:41 GMT 2025","Get entity","Files","",""
"","264","Create file with empty filename","LMS service","Sat Aug 30 16:18:40 GMT 2025","passed","Sat Aug 30 16:18:40 GMT 2025","Validate entity","Files","",""
