"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18","Delete exercise","LMS service","Wed Aug 20 17:24:26 GMT 2025","passed","Wed Aug 20 17:24:26 GMT 2025","Delete entity","Exercises","",""
"","288","Login with correct email and password","LMS service","Wed Aug 20 17:24:21 GMT 2025","passed","Wed Aug 20 17:24:21 GMT 2025","Login","Authentication","",""
"","15","Get file","LMS service","Wed Aug 20 17:24:27 GMT 2025","passed","Wed Aug 20 17:24:27 GMT 2025","Get entity","Files","",""
"","560","Create user","LMS service","Wed Aug 20 17:24:30 GMT 2025","passed","Wed Aug 20 17:24:30 GMT 2025","Create entity","Users","",""
"","265","Get file with incorrect file id","LMS service","Wed Aug 20 17:24:29 GMT 2025","passed","Wed Aug 20 17:24:30 GMT 2025","Validate entity","Files","",""
"","31","Update course","LMS service","Wed Aug 20 17:24:22 GMT 2025","passed","Wed Aug 20 17:24:22 GMT 2025","Update entity","Courses","",""
"","285","Get exercises","LMS service","Wed Aug 20 17:24:24 GMT 2025","passed","Wed Aug 20 17:24:25 GMT 2025","Get entities","Exercises","",""
"","12","Get user me","LMS service","Wed Aug 20 17:24:31 GMT 2025","passed","Wed Aug 20 17:24:31 GMT 2025","Get entity","Users","",""
"","290","Update exercise","LMS service","Wed Aug 20 17:24:25 GMT 2025","passed","Wed Aug 20 17:24:26 GMT 2025","Update entity","Exercises","",""
"","25","Create exercise","LMS service","Wed Aug 20 17:24:24 GMT 2025","passed","Wed Aug 20 17:24:24 GMT 2025","Create entity","Exercises","",""
"","299","Get courses","LMS service","Wed Aug 20 17:24:22 GMT 2025","passed","Wed Aug 20 17:24:22 GMT 2025","Get entities","Courses","",""
"","30","Create course","LMS service","Wed Aug 20 17:24:23 GMT 2025","passed","Wed Aug 20 17:24:23 GMT 2025","Create entity","Courses","",""
"","258","Create file with empty directory","LMS service","Wed Aug 20 17:24:28 GMT 2025","passed","Wed Aug 20 17:24:28 GMT 2025","Validate entity","Files","",""
"","559","Create user","LMS service","Wed Aug 20 17:24:30 GMT 2025","passed","Wed Aug 20 17:24:30 GMT 2025","Create entity","Users","",""
"","18","Get exercise","LMS service","Wed Aug 20 17:24:25 GMT 2025","passed","Wed Aug 20 17:24:25 GMT 2025","Get entity","Exercises","",""
"","19","Delete file","LMS service","Wed Aug 20 17:24:29 GMT 2025","passed","Wed Aug 20 17:24:29 GMT 2025","Delete entity","Files","",""
"","263","Create file","LMS service","Wed Aug 20 17:24:26 GMT 2025","passed","Wed Aug 20 17:24:27 GMT 2025","Create entity","Files","",""
"","550","Create user","LMS service","Wed Aug 20 17:24:29 GMT 2025","passed","Wed Aug 20 17:24:30 GMT 2025","Create entity","Users","",""
"","262","Create file with empty filename","LMS service","Wed Aug 20 17:24:28 GMT 2025","passed","Wed Aug 20 17:24:28 GMT 2025","Validate entity","Files","",""
