"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","29","Get courses","LMS service","Mon Sep 01 07:39:11 GMT 2025","passed","Mon Sep 01 07:39:11 GMT 2025","Get entities","Courses","",""
"","258","Create file with empty filename","LMS service","Mon Sep 01 07:39:17 GMT 2025","passed","Mon Sep 01 07:39:17 GMT 2025","Validate entity","Files","",""
"","19","Update exercise","LMS service","Mon Sep 01 07:39:14 GMT 2025","passed","Mon Sep 01 07:39:14 GMT 2025","Update entity","Exercises","",""
"","283","Login with correct email and password","LMS service","Mon Sep 01 07:39:10 GMT 2025","passed","Mon Sep 01 07:39:11 GMT 2025","Login","Authentication","",""
"","17","Get exercises","LMS service","Mon Sep 01 07:39:13 GMT 2025","passed","Mon Sep 01 07:39:13 GMT 2025","Get entities","Exercises","",""
"","21","Create exercise","LMS service","Mon Sep 01 07:39:13 GMT 2025","passed","Mon Sep 01 07:39:13 GMT 2025","Create entity","Exercises","",""
"","255","Create file with empty directory","LMS service","Mon Sep 01 07:39:18 GMT 2025","passed","Mon Sep 01 07:39:18 GMT 2025","Validate entity","Files","",""
"","555","Create user","LMS service","Mon Sep 01 07:39:19 GMT 2025","passed","Mon Sep 01 07:39:19 GMT 2025","Create entity","Users","",""
"","544","Create user","LMS service","Mon Sep 01 07:39:18 GMT 2025","passed","Mon Sep 01 07:39:19 GMT 2025","Create entity","Users","",""
"","258","Get file with incorrect file id","LMS service","Mon Sep 01 07:39:19 GMT 2025","passed","Mon Sep 01 07:39:19 GMT 2025","Validate entity","Files","",""
"","19","Create file","LMS service","Mon Sep 01 07:39:16 GMT 2025","passed","Mon Sep 01 07:39:16 GMT 2025","Create entity","Files","",""
"","300","Update course","LMS service","Mon Sep 01 07:39:12 GMT 2025","passed","Mon Sep 01 07:39:12 GMT 2025","Update entity","Courses","",""
"","10","Get user me","LMS service","Mon Sep 01 07:39:20 GMT 2025","passed","Mon Sep 01 07:39:20 GMT 2025","Get entity","Users","",""
"","286","Create user","LMS service","Mon Sep 01 07:39:19 GMT 2025","passed","Mon Sep 01 07:39:19 GMT 2025","Create entity","Users","",""
"","295","Delete file","LMS service","Mon Sep 01 07:39:18 GMT 2025","passed","Mon Sep 01 07:39:18 GMT 2025","Delete entity","Files","",""
"","26","Create course","LMS service","Mon Sep 01 07:39:12 GMT 2025","passed","Mon Sep 01 07:39:12 GMT 2025","Create entity","Courses","",""
"","25","Delete exercise","LMS service","Mon Sep 01 07:39:16 GMT 2025","passed","Mon Sep 01 07:39:16 GMT 2025","Delete entity","Exercises","",""
"","14","Get file","LMS service","Mon Sep 01 07:39:17 GMT 2025","passed","Mon Sep 01 07:39:17 GMT 2025","Get entity","Files","",""
"","24","Get exercise","LMS service","Mon Sep 01 07:39:14 GMT 2025","passed","Mon Sep 01 07:39:14 GMT 2025","Get entity","Exercises","",""
