"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","285","Get file","LMS service","Sat Aug 30 17:41:32 GMT 2025","passed","Sat Aug 30 17:41:32 GMT 2025","Get entity","Files","",""
"","556","Create user","LMS service","Sat Aug 30 17:41:34 GMT 2025","passed","Sat Aug 30 17:41:34 GMT 2025","Create entity","Users","",""
"","27","Get courses","LMS service","Sat Aug 30 17:41:26 GMT 2025","passed","Sat Aug 30 17:41:26 GMT 2025","Get entities","Courses","",""
"","17","Get exercises","LMS service","Sat Aug 30 17:41:28 GMT 2025","passed","Sat Aug 30 17:41:28 GMT 2025","Get entities","Exercises","",""
"","530","Create user","LMS service","Sat Aug 30 17:41:33 GMT 2025","passed","Sat Aug 30 17:41:34 GMT 2025","Create entity","Users","",""
"","552","Login with correct email and password","LMS service","Sat Aug 30 17:41:25 GMT 2025","passed","Sat Aug 30 17:41:26 GMT 2025","Login","Authentication","",""
"","29","Create course","LMS service","Sat Aug 30 17:41:27 GMT 2025","passed","Sat Aug 30 17:41:27 GMT 2025","Create entity","Courses","",""
"","19","Update exercise","LMS service","Sat Aug 30 17:41:29 GMT 2025","passed","Sat Aug 30 17:41:29 GMT 2025","Update entity","Exercises","",""
"","25","Delete exercise","LMS service","Sat Aug 30 17:41:31 GMT 2025","passed","Sat Aug 30 17:41:31 GMT 2025","Delete entity","Exercises","",""
"","259","Get file with incorrect file id","LMS service","Sat Aug 30 17:41:34 GMT 2025","passed","Sat Aug 30 17:41:34 GMT 2025","Validate entity","Files","",""
"","20","Create file","LMS service","Sat Aug 30 17:41:31 GMT 2025","passed","Sat Aug 30 17:41:31 GMT 2025","Create entity","Files","",""
"","21","Get exercise","LMS service","Sat Aug 30 17:41:29 GMT 2025","passed","Sat Aug 30 17:41:29 GMT 2025","Get entity","Exercises","",""
"","12","Get user me","LMS service","Sat Aug 30 17:41:35 GMT 2025","passed","Sat Aug 30 17:41:35 GMT 2025","Get entity","Users","",""
"","263","Create file with empty directory","LMS service","Sat Aug 30 17:41:32 GMT 2025","passed","Sat Aug 30 17:41:33 GMT 2025","Validate entity","Files","",""
"","21","Create exercise","LMS service","Sat Aug 30 17:41:28 GMT 2025","passed","Sat Aug 30 17:41:28 GMT 2025","Create entity","Exercises","",""
"","39","Update course","LMS service","Sat Aug 30 17:41:27 GMT 2025","passed","Sat Aug 30 17:41:27 GMT 2025","Update entity","Courses","",""
"","260","Create file with empty filename","LMS service","Sat Aug 30 17:41:31 GMT 2025","passed","Sat Aug 30 17:41:32 GMT 2025","Validate entity","Files","",""
"","26","Delete file","LMS service","Sat Aug 30 17:41:33 GMT 2025","passed","Sat Aug 30 17:41:33 GMT 2025","Delete entity","Files","",""
"","289","Create user","LMS service","Sat Aug 30 17:41:34 GMT 2025","passed","Sat Aug 30 17:41:34 GMT 2025","Create entity","Users","",""
