"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21","Delete file","LMS service","Wed Aug 20 17:12:07 GMT 2025","passed","Wed Aug 20 17:12:07 GMT 2025","Delete entity","Files","",""
"","11","Get user me","LMS service","Wed Aug 20 17:12:09 GMT 2025","passed","Wed Aug 20 17:12:09 GMT 2025","Get entity","Users","",""
"","264","Create file with empty filename","LMS service","Wed Aug 20 17:12:06 GMT 2025","passed","Wed Aug 20 17:12:06 GMT 2025","Validate entity","Files","",""
"","259","Create file with empty directory","LMS service","Wed Aug 20 17:12:07 GMT 2025","passed","Wed Aug 20 17:12:07 GMT 2025","Validate entity","Files","",""
"","24","Create exercise","LMS service","Wed Aug 20 17:12:02 GMT 2025","passed","Wed Aug 20 17:12:02 GMT 2025","Create entity","Exercises","",""
"","17","Delete exercise","LMS service","Wed Aug 20 17:12:04 GMT 2025","passed","Wed Aug 20 17:12:05 GMT 2025","Delete entity","Exercises","",""
"","36","Update course","LMS service","Wed Aug 20 17:12:01 GMT 2025","passed","Wed Aug 20 17:12:01 GMT 2025","Update entity","Courses","",""
"","260","Get file with incorrect file id","LMS service","Wed Aug 20 17:12:08 GMT 2025","passed","Wed Aug 20 17:12:08 GMT 2025","Validate entity","Files","",""
"","288","Update exercise","LMS service","Wed Aug 20 17:12:04 GMT 2025","passed","Wed Aug 20 17:12:04 GMT 2025","Update entity","Exercises","",""
"","552","Login with correct email and password","LMS service","Wed Aug 20 17:11:59 GMT 2025","passed","Wed Aug 20 17:12:00 GMT 2025","Login","Authentication","",""
"","285","Create user","LMS service","Wed Aug 20 17:12:08 GMT 2025","passed","Wed Aug 20 17:12:08 GMT 2025","Create entity","Users","",""
"","21","Get exercise","LMS service","Wed Aug 20 17:12:03 GMT 2025","passed","Wed Aug 20 17:12:03 GMT 2025","Get entity","Exercises","",""
"","561","Create user","LMS service","Wed Aug 20 17:12:08 GMT 2025","passed","Wed Aug 20 17:12:09 GMT 2025","Create entity","Users","",""
"","13","Get file","LMS service","Wed Aug 20 17:12:06 GMT 2025","passed","Wed Aug 20 17:12:06 GMT 2025","Get entity","Files","",""
"","293","Get exercises","LMS service","Wed Aug 20 17:12:02 GMT 2025","passed","Wed Aug 20 17:12:03 GMT 2025","Get entities","Exercises","",""
"","32","Get courses","LMS service","Wed Aug 20 17:12:00 GMT 2025","passed","Wed Aug 20 17:12:00 GMT 2025","Get entities","Courses","",""
"","551","Create user","LMS service","Wed Aug 20 17:12:07 GMT 2025","passed","Wed Aug 20 17:12:08 GMT 2025","Create entity","Users","",""
"","27","Create course","LMS service","Wed Aug 20 17:12:01 GMT 2025","passed","Wed Aug 20 17:12:01 GMT 2025","Create entity","Courses","",""
"","260","Create file","LMS service","Wed Aug 20 17:12:05 GMT 2025","passed","Wed Aug 20 17:12:05 GMT 2025","Create entity","Files","",""
