"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","287","Create user","LMS service","Sun Aug 17 18:32:54 GMT 2025","passed","Sun Aug 17 18:32:54 GMT 2025","Create entity","Users","",""
"","534","Create user","LMS service","Sun Aug 17 18:32:53 GMT 2025","passed","Sun Aug 17 18:32:54 GMT 2025","Create entity","Users","",""
"","47","Create course","LMS service","Sun Aug 17 18:32:47 GMT 2025","passed","Sun Aug 17 18:32:47 GMT 2025","Create entity","Courses","",""
"","263","Get file with incorrect file id","LMS service","Sun Aug 17 18:32:54 GMT 2025","passed","Sun Aug 17 18:32:54 GMT 2025","Validate entity","Files","",""
"","23","Get exercises","LMS service","Sun Aug 17 18:32:48 GMT 2025","passed","Sun Aug 17 18:32:48 GMT 2025","Get entities","Exercises","",""
"","23","Create exercise","LMS service","Sun Aug 17 18:32:48 GMT 2025","passed","Sun Aug 17 18:32:48 GMT 2025","Create entity","Exercises","",""
"","25","Get exercise","LMS service","Sun Aug 17 18:32:49 GMT 2025","passed","Sun Aug 17 18:32:49 GMT 2025","Get entity","Exercises","",""
"","561","Create user","LMS service","Sun Aug 17 18:32:54 GMT 2025","passed","Sun Aug 17 18:32:54 GMT 2025","Create entity","Users","",""
"","20","Update exercise","LMS service","Sun Aug 17 18:32:49 GMT 2025","passed","Sun Aug 17 18:32:49 GMT 2025","Update entity","Exercises","",""
"","24","Delete exercise","LMS service","Sun Aug 17 18:32:51 GMT 2025","passed","Sun Aug 17 18:32:51 GMT 2025","Delete entity","Exercises","",""
"","20","Create file","LMS service","Sun Aug 17 18:32:51 GMT 2025","passed","Sun Aug 17 18:32:51 GMT 2025","Create entity","Files","",""
"","25","Delete file","LMS service","Sun Aug 17 18:32:53 GMT 2025","passed","Sun Aug 17 18:32:53 GMT 2025","Delete entity","Files","",""
"","265","Create file with empty filename","LMS service","Sun Aug 17 18:32:51 GMT 2025","passed","Sun Aug 17 18:32:52 GMT 2025","Validate entity","Files","",""
"","285","Get file","LMS service","Sun Aug 17 18:32:52 GMT 2025","passed","Sun Aug 17 18:32:52 GMT 2025","Get entity","Files","",""
"","552","Login with correct email and password","LMS service","Sun Aug 17 18:32:45 GMT 2025","passed","Sun Aug 17 18:32:46 GMT 2025","Login","Authentication","",""
"","264","Create file with empty directory","LMS service","Sun Aug 17 18:32:52 GMT 2025","passed","Sun Aug 17 18:32:53 GMT 2025","Validate entity","Files","",""
"","37","Update course","LMS service","Sun Aug 17 18:32:47 GMT 2025","passed","Sun Aug 17 18:32:47 GMT 2025","Update entity","Courses","",""
"","12","Get user me","LMS service","Sun Aug 17 18:32:55 GMT 2025","passed","Sun Aug 17 18:32:55 GMT 2025","Get entity","Users","",""
"","32","Get courses","LMS service","Sun Aug 17 18:32:46 GMT 2025","passed","Sun Aug 17 18:32:46 GMT 2025","Get entities","Courses","",""
